sku,retail_price,item_title,inserted_at,store_code,availability
WF365-00001,0.0,"365 by Whole Foods Market Frozen Wild-Caught Seafood Value Pack, Sockeye Salmon Fillets",2024-12-13 23:04:45,365WF,1
WF365-00002,0.0,365 by Whole Foods Market Organic Boneless And Skinless Chicken Breasts,2024-12-13 23:04:45,365WF,1
WF365-00003,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Breast Value Pack,2024-12-13 23:04:45,365WF,1
WF365-00004,0.0,365 by Whole Foods Market Wild-Caught Cod Fillets,2024-12-13 23:04:45,365WF,1
WF365-00005,0.0,"365 by Whole Foods Market Organic Broccoli Florets, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00006,0.0,365 by Whole Foods Market Organic Boneless Skinless Chicken Thighs,2024-12-13 23:04:45,365WF,1
WF365-00007,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Blueberries",2024-12-13 23:04:45,365WF,1
WF365-00008,0.0,"365 by Whole Foods Market Organic Packaged Vegetables, Green Beans - Trimmed, 12 oz",2024-12-13 23:04:45,365WF,1
WF365-00009,0.0,"365 by Whole Foods Market Crumbled Feta Cheese, 6 oz",2024-12-13 23:04:45,365WF,1
WF365-00010,0.0,"365 by Whole Foods Market Extra Virgin Olive Oil - Cold Processed, Mediterranean Blend, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00011,0.0,"365 by Whole Foods Market Organic Berry Blend, 32 oz",2024-12-13 23:04:45,365WF,1
WF365-00012,0.0,365 by Whole Foods Market Organic Spring Mix,2024-12-13 23:04:45,365WF,1
WF365-00013,0.0,"365 by Whole Foods Market Organic Packaged Chopped Salad Kit, Kale Caesar",2024-12-13 23:04:45,365WF,1
WF365-00014,0.0,"365 by Whole Foods Market Grated Parmesan Cheese, 5 oz",2024-12-13 23:04:45,365WF,1
WF365-00015,0.0,365 by Whole Foods Market Uncured Center Cut Smokehouse Bacon,2024-12-13 23:04:45,365WF,1
WF365-00016,0.0,365 by Whole Foods Market Part-skim Shredded Mozzarella Cheese,2024-12-13 23:04:45,365WF,1
WF365-00017,0.0,"365 by Whole Foods Market Shredded Parmesan Cheese, 5 oz",2024-12-13 23:04:45,365WF,1
WF365-00018,0.0,"365 by Whole Foods Market Organic Dried Mango, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00019,0.0,"365 by Whole Foods Market Frozen Organic Fruit, Strawberries - Whole",2024-12-13 23:04:45,365WF,1
WF365-00020,0.0,"365 by Whole Foods Market Produce - Packaged Vegetables, Broccoli - Florets",2024-12-13 23:04:45,365WF,1
WF365-00021,0.0,"365 by Whole Foods Market Organic Walnut Halves & Pieces, 10 oz",2024-12-13 23:04:45,365WF,1
WF365-00022,0.0,"365 by Whole Foods Market Organic Extra Virgin Olive Oil - Cold Processed, Mediterranean, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00023,0.0,"365 by Whole Foods Market Organic Packaged Vegetables, Sugar Snap Peas, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00024,0.0,365 by Whole Foods Market Organic Honeycrisp Apple Bag,2024-12-13 23:04:45,365WF,1
WF365-00025,0.0,365 by Whole Foods Market Organic Carrots (5 Pound),2024-12-13 23:04:45,365WF,1
WF365-00026,0.0,"365 by Whole Foods Market Shredded Mexican Blend, 8 oz",2024-12-13 23:04:45,365WF,1
WF365-00027,0.0,"365 by Whole Foods Market Coconut Water, 33.8 fl oz",2024-12-13 23:04:45,365WF,1
WF365-00028,0.0,"365 by Whole Foods Market Organic Unsalted Butter, 16 oz",2024-12-13 23:04:45,365WF,1
WF365-00029,0.0,"365 by Whole Foods Market Organic Cheese Shreds, Mozzarella",2024-12-13 23:04:45,365WF,1
